4.3689,4.3689,4.6994,4.6994,4.5239,4.5239,4.7925,4.7925,3.9287,3.9287,5.122,5.122,3.8238,3.8238,4.9247,4.9247,4.3085,4.3085
4.4759,4.4759,4.4146,4.4146,4.374,4.374,4.4482,4.4482,4.5383,4.5383,4.9749,4.9749,4.5148,4.5148,4.6879,4.6879,4.4658,4.4658
4.437,4.437,4.3683,4.3683,4.2678,4.2678,4.298,4.298,4.5345,4.5345,4.9076,4.9076,4.4963,4.4963,4.6523,4.6523,4.469,4.469
4.3733,4.3733,4.4215,4.4215,4.2655,4.2655,4.218,4.218,4.4537,4.4537,4.8441,4.8441,4.3765,4.3765,4.6785,4.6785,4.4803,4.4803
4.6205,4.6205,4.7346,4.7346,4.5895,4.5895,4.395,4.395,4.6756,4.6756,4.8302,4.8302,4.59,4.59,4.8149,4.8149,4.7051,4.7051
4.7399,4.7399,4.803,4.803,4.8058,4.8058,4.7141,4.7141,4.9406,4.9406,5.0207,5.0207,4.7369,4.7369,4.9868,4.9868,4.9343,4.9343
4.8626,4.8626,4.8941,4.8941,4.8245,4.8245,4.9207,4.9207,5.0296,5.0296,5.0843,5.0843,4.847,4.847,5.0182,5.0182,5.003,5.003
4.8848,4.8848,4.9164,4.9164,4.9108,4.9108,4.9369,4.9369,5.0832,5.0832,5.1041,5.1041,4.8479,4.8479,5.0675,5.0675,5.0308,5.0308
5.2007,5.2007,5.1822,5.1822,5.1194,5.1194,5.1119,5.1119,5.0728,5.0728,5.3103,5.3103,5.1577,5.1577,5.2546,5.2546,5.191,5.191
5.3707,5.3707,5.3975,5.3975,5.3833,5.3833,5.2155,5.2155,5.4203,5.4203,5.5428,5.5428,5.3976,5.3976,5.5325,5.5325,5.2905,5.2905
5.359,5.359,5.4073,5.4073,5.4119,5.4119,5.2681,5.2681,5.3947,5.3947,5.5503,5.5503,5.4173,5.4173,5.5335,5.5335,5.309,5.309
5.3382,5.3382,5.3802,5.3802,5.3975,5.3975,5.2541,5.2541,5.3764,5.3764,5.5273,5.5273,5.389,5.389,5.5223,5.5223,5.2838,5.2838
5.3306,5.3306,5.3682,5.3682,5.3994,5.3994,5.2621,5.2621,5.3683,5.3683,5.5224,5.5224,5.382,5.382,5.5145,5.5145,5.2997,5.2997
5.3202,5.3202,5.3796,5.3796,5.3927,5.3927,5.2686,5.2686,5.3817,5.3817,5.5051,5.5051,5.372,5.372,5.5009,5.5009,5.3088,5.3088
5.3054,5.3054,5.3717,5.3717,5.3862,5.3862,5.2782,5.2782,5.3711,5.3711,5.4976,5.4976,5.3738,5.3738,5.4813,5.4813,5.302,5.302
5.3148,5.3148,5.3745,5.3745,5.3934,5.3934,5.2897,5.2897,5.3782,5.3782,5.497,5.497,5.3782,5.3782,5.479,5.479,5.3048,5.3048
5.3148,5.3148,5.3838,5.3838,5.3998,5.3998,5.2972,5.2972,5.3866,5.3866,5.5018,5.5018,5.3766,5.3766,5.4885,5.4885,5.3086,5.3086
5.3198,5.3198,5.3937,5.3937,5.41,5.41,5.3084,5.3084,5.3903,5.3903,5.5023,5.5023,5.3864,5.3864,5.4942,5.4942,5.3095,5.3095
5.3198,5.3198,5.4031,5.4031,5.4134,5.4134,5.3184,5.3184,5.3927,5.3927,5.5034,5.5034,5.3902,5.3902,5.4959,5.4959,5.3141,5.3141
