4.5662,4.5662,4.6057,4.6057,4.8878,4.8878,4.8093,4.8093,4.5511,4.5511,4.7764,4.7764,4.5938,4.5938,4.4508,4.4508
4.3844,4.3844,4.3614,4.3614,4.6377,4.6377,4.4718,4.4718,4.3382,4.3382,4.4656,4.4656,4.2951,4.2951,4.4658,4.4658
4.4046,4.4046,4.2876,4.2876,4.5571,4.5571,4.3805,4.3805,4.2268,4.2268,4.3861,4.3861,4.2001,4.2001,4.4274,4.4274
4.4707,4.4707,4.2992,4.2992,4.5036,4.5036,4.3871,4.3871,4.1921,4.1921,4.3909,4.3909,4.2273,4.2273,4.4109,4.4109
4.5995,4.5995,4.4686,4.4686,4.5109,4.5109,4.504,4.504,4.2697,4.2697,4.4372,4.4372,4.2772,4.2772,4.4549,4.4549
4.7034,4.7034,4.5894,4.5894,4.9967,4.9967,4.793,4.793,4.6457,4.6457,4.7501,4.7501,4.6207,4.6207,4.4788,4.4788
4.9743,4.9743,4.9641,4.9641,5.0323,5.0323,5.1044,5.1044,4.9995,4.9995,5.0291,5.0291,4.7893,4.7893,4.7931,4.7931
5.0968,5.0968,5.0207,5.0207,5.1329,5.1329,5.1581,5.1581,5.1381,5.1381,5.0417,5.0417,4.8614,4.8614,4.8905,4.8905
5.3683,5.3683,5.2826,5.2826,5.1498,5.1498,5.2763,5.2763,5.2075,5.2075,5.1423,5.1423,5.0535,5.0535,5.0027,5.0027
5.3588,5.3588,5.2779,5.2779,5.1652,5.1652,5.3142,5.3142,5.2118,5.2118,5.1512,5.1512,5.0817,5.0817,5.0643,5.0643
5.3599,5.3599,5.2594,5.2594,5.1613,5.1613,5.2943,5.2943,5.2073,5.2073,5.1474,5.1474,5.1054,5.1054,5.1147,5.1147
5.3729,5.3729,5.2547,5.2547,5.1919,5.1919,5.318,5.318,5.2188,5.2188,5.1743,5.1743,5.1224,5.1224,5.1776,5.1776
5.3785,5.3785,5.2635,5.2635,5.2439,5.2439,5.3311,5.3311,5.2672,5.2672,5.2196,5.2196,5.1644,5.1644,5.2032,5.2032
5.3591,5.3591,5.2542,5.2542,5.262,5.262,5.3227,5.3227,5.2563,5.2563,5.226,5.226,5.2089,5.2089,5.2303,5.2303
5.3412,5.3412,5.2622,5.2622,5.2444,5.2444,5.3232,5.3232,5.2605,5.2605,5.2003,5.2003,5.1982,5.1982,5.2082,5.2082
5.3493,5.3493,5.2764,5.2764,5.2494,5.2494,5.3314,5.3314,5.263,5.263,5.2018,5.2018,5.2126,5.2126,5.2135,5.2135
5.3765,5.3765,5.2889,5.2889,5.2496,5.2496,5.34,5.34,5.2713,5.2713,5.2141,5.2141,5.2146,5.2146,5.2269,5.2269
5.4044,5.4044,5.3167,5.3167,5.2762,5.2762,5.3498,5.3498,5.2786,5.2786,5.2282,5.2282,5.232,5.232,5.2274,5.2274
5.4158,5.4158,5.34,5.34,5.2944,5.2944,5.3642,5.3642,5.2979,5.2979,5.2474,5.2474,5.2626,5.2626,5.2552,5.2552
5.4159,5.4159,5.353,5.353,5.2997,5.2997,5.3678,5.3678,5.3154,5.3154,5.2507,5.2507,5.267,5.267,5.2758,5.2758
5.4196,5.4196,5.3591,5.3591,5.3082,5.3082,5.3685,5.3685,5.3193,5.3193,5.2548,5.2548,5.276,5.276,5.2839,5.2839
5.4208,5.4208,5.3582,5.3582,5.3122,5.3122,5.3744,5.3744,5.3194,5.3194,5.2595,5.2595,5.2843,5.2843,5.2845,5.2845
5.424,5.424,5.3606,5.3606,5.3242,5.3242,5.3798,5.3798,5.3291,5.3291,5.2701,5.2701,5.2964,5.2964,5.2922,5.2922
5.4283,5.4283,5.3609,5.3609,5.3402,5.3402,5.3945,5.3945,5.3354,5.3354,5.2806,5.2806,5.3233,5.3233,5.3031,5.3031
