4.592,4.592,4.7566,4.7566,4.3379,4.3379,4.5407,4.5407,4.7278,4.7278,4.5762,4.5762,4.7443,4.7443,4.6272,4.6272,4.6112,4.6112,4.8211,4.8211,4.6695,4.6695,4.7567,4.7567,4.7816,4.7816,4.7825,4.7825,4.6175,4.6175,4.783,4.783,4.8487,4.8487,4.7253,4.7253,4.7417,4.7417,4.7939,4.7939,4.9027,4.9027,4.8079,4.8079,4.8003,4.8003,4.9704,4.9704
4.4061,4.4061,4.4044,4.4044,4.4375,4.4375,4.3993,4.3993,4.3226,4.3226,4.3751,4.3751,4.3384,4.3384,4.3521,4.3521,4.3275,4.3275,4.4665,4.4665,4.3232,4.3232,4.3944,4.3944,4.422,4.422,4.4095,4.4095,4.3645,4.3645,4.3872,4.3872,4.5455,4.5455,4.3953,4.3953,4.3996,4.3996,4.479,4.479,4.639,4.639,4.4947,4.4947,4.5126,4.5126,4.7411,4.7411
4.4205,4.4205,4.338,4.338,4.4261,4.4261,4.3463,4.3463,4.1481,4.1481,4.3102,4.3102,4.2433,4.2433,4.2059,4.2059,4.1737,4.1737,4.3296,4.3296,4.1861,4.1861,4.238,4.238,4.281,4.281,4.2835,4.2835,4.265,4.265,4.2556,4.2556,4.4615,4.4615,4.2872,4.2872,4.2755,4.2755,4.406,4.406,4.5497,4.5497,4.3873,4.3873,4.4713,4.4713,4.6345,4.6345
4.4967,4.4967,4.3955,4.3955,4.4041,4.4041,4.3447,4.3447,4.0374,4.0374,4.3117,4.3117,4.2153,4.2153,4.0919,4.0919,4.0978,4.0978,4.2494,4.2494,4.1134,4.1134,4.1775,4.1775,4.2172,4.2172,4.2247,4.2247,4.2376,4.2376,4.2207,4.2207,4.4458,4.4458,4.2529,4.2529,4.228,4.228,4.3963,4.3963,4.5164,4.5164,4.3259,4.3259,4.488,4.488,4.5509,4.5509
4.5763,4.5763,4.4173,4.4173,4.4244,4.4244,4.3528,4.3528,4.1133,4.1133,4.3126,4.3126,4.2212,4.2212,4.0645,4.0645,4.1033,4.1033,4.1995,4.1995,4.1351,4.1351,4.1336,4.1336,4.3071,4.3071,4.2255,4.2255,4.2025,4.2025,4.2732,4.2732,4.4775,4.4775,4.2466,4.2466,4.242,4.242,4.3605,4.3605,4.5014,4.5014,4.3329,4.3329,4.4734,4.4734,4.548,4.548
4.6309,4.6309,4.4963,4.4963,4.4698,4.4698,4.4442,4.4442,4.2853,4.2853,4.3921,4.3921,4.3786,4.3786,4.1145,4.1145,4.3785,4.3785,4.3992,4.3992,4.292,4.292,4.2005,4.2005,4.3406,4.3406,4.276,4.276,4.3798,4.3798,4.2546,4.2546,4.6129,4.6129,4.4244,4.4244,4.28,4.28,4.4183,4.4183,4.5634,4.5634,4.3523,4.3523,4.5201,4.5201,4.691,4.691
4.7865,4.7865,4.818,4.818,4.5933,4.5933,4.6672,4.6672,4.4506,4.4506,4.6474,4.6474,4.4675,4.4675,4.4588,4.4588,4.5798,4.5798,4.6262,4.6262,4.5872,4.5872,4.4821,4.4821,4.6208,4.6208,4.6237,4.6237,4.6362,4.6362,4.5636,4.5636,4.7671,4.7671,4.7074,4.7074,4.4373,4.4373,4.6429,4.6429,4.6966,4.6966,4.5655,4.5655,4.6578,4.6578,4.7726,4.7726
4.8763,4.8763,4.9432,4.9432,4.7779,4.7779,4.6846,4.6846,4.5615,4.5615,4.6703,4.6703,4.6774,4.6774,4.5494,4.5494,4.7384,4.7384,4.642,4.642,4.5789,4.5789,4.5161,4.5161,4.689,4.689,4.6537,4.6537,4.6277,4.6277,4.5711,4.5711,4.802,4.802,4.7542,4.7542,4.5323,4.5323,4.7567,4.7567,4.7696,4.7696,4.6741,4.6741,4.7058,4.7058,4.8266,4.8266
4.8771,4.8771,5.0748,5.0748,4.8831,4.8831,4.7891,4.7891,4.6448,4.6448,4.7607,4.7607,4.7488,4.7488,4.7354,4.7354,4.8765,4.8765,4.7775,4.7775,4.7507,4.7507,4.6202,4.6202,4.7448,4.7448,4.8109,4.8109,4.6708,4.6708,4.7318,4.7318,4.8696,4.8696,4.92,4.92,4.5506,4.5506,4.848,4.848,4.8467,4.8467,4.7255,4.7255,4.8441,4.8441,4.854,4.854
4.9228,4.9228,5.1014,5.1014,4.895,4.895,4.8586,4.8586,4.6914,4.6914,4.7818,4.7818,4.7414,4.7414,4.8543,4.8543,4.9493,4.9493,4.8369,4.8369,4.9177,4.9177,4.7089,4.7089,4.8979,4.8979,4.9103,4.9103,4.7389,4.7389,4.9384,4.9384,4.9184,4.9184,4.9721,4.9721,4.7309,4.7309,4.9562,4.9562,4.954,4.954,4.8569,4.8569,4.938,4.938,4.9544,4.9544
4.9454,4.9454,5.1348,5.1348,4.947,4.947,4.9794,4.9794,4.7417,4.7417,4.7952,4.7952,4.7364,4.7364,4.8811,4.8811,4.9482,4.9482,4.8477,4.8477,4.9058,4.9058,4.7206,4.7206,4.9211,4.9211,4.9465,4.9465,4.7495,4.7495,4.9303,4.9303,4.9814,4.9814,4.9641,4.9641,4.7651,4.7651,4.9626,4.9626,5.0052,5.0052,4.9374,4.9374,4.9305,4.9305,4.9652,4.9652
5.0134,5.0134,5.1616,5.1616,4.9808,4.9808,5.0006,5.0006,4.8431,4.8431,4.8786,4.8786,4.7625,4.7625,4.9214,4.9214,4.9823,4.9823,4.8954,4.8954,4.9164,4.9164,4.8125,4.8125,4.9464,4.9464,4.9782,4.9782,4.7951,4.7951,4.9215,4.9215,5.0269,5.0269,4.9403,4.9403,4.8177,4.8177,5.0006,5.0006,5.0829,5.0829,4.9701,4.9701,4.9462,4.9462,4.9928,4.9928
